Icon_name,Icon_tags,mp4_link
Idea,"electronics,illumination,electricity,idea",mp4/Idea.mp4
Phone,"communications,phone,telephone,call",mp4/Phone.mp4
Rocket,"transportation,transport",mp4/Rocket.mp4
Money bag,"business,and,finance,business,dollar,money,bag",mp4/Money bag.mp4
Social media,"user,connection,network",mp4/Social media.mp4
Click,"hand,hands,and,gestures,gesture,animation,finger,click",mp4/Click.mp4
Checklist,"files,and,folders,list,clipboard",mp4/Checklist.mp4
Notebook,"education,stationery,pencil,notebook",mp4/Notebook.mp4
Target,"marketing,goal,target",mp4/Target.mp4
Calendar,"time,and,date,time,calendar,schedule",mp4/Calendar.mp4
Message,"message,shipping,and,delivery,email,mail,envelope",mp4/Message.mp4
Verified,"ui,verified",mp4/Verified.mp4
Document,"document,files,and,folders,file,sheet,paper",mp4/Document.mp4
Clock,"time,and,date,clock,hour,watch",mp4/Clock.mp4
Handshake,"hand,hands,and,gestures,gesture,animation",mp4/Handshake.mp4
Line chart,"business,and,finance,business,statistics,stats",mp4/Line chart.mp4
Social care,"user,people,hand,protection",mp4/Social care.mp4
Customer,"user,business,and,finance,chart,marketing,crown,graphic,bar,chart",mp4/Customer.mp4
Fast forward,"orientation,arrows,direction,arrow",mp4/Fast forward.mp4
Like,"hand,gesture,marketing",mp4/Like.mp4
Award,"sports,and,competition,cup,award,trophy,winner,champion",mp4/Award.mp4
Connection,"user,people,business,and,finance,team,networking,connection,network",mp4/Connection.mp4
Settings,"ui,settings",mp4/Settings.mp4
Save money,"business,and,finance,money,coin",mp4/Save money.mp4
Computer,"electronics,technology,computer,screen,monitor,device",mp4/Computer.mp4
Video,"music,and,multimedia,film,play,multimedia",mp4/Video.mp4
Cloud network,"networking,connection",mp4/Cloud network.mp4
Truck,"transportation,transport,truck",mp4/Truck.mp4
Support,communications,mp4/Support.mp4
Location,"maps,and,location,pin,location,gps",mp4/Location.mp4
Laptop,"electronics,technology,computer,statistics,laptop,graphic,device",mp4/Laptop.mp4
Diagram,"business,and,finance,arrows,diagram,infographic",mp4/Diagram.mp4
Tech support,"professions,and,jobs",mp4/Tech support.mp4
Book,"education,book,literature,library,study",mp4/Book.mp4
Mortarboard,education,mp4/Mortarboard.mp4
Diagram,"business,and,finance,business,diagram",mp4/Diagram.mp4
Meteor rain,"miscellaneous,astronomy,star",mp4/Meteor rain.mp4
Books,"education,literature,reading,library,study",mp4/Books.mp4
Home,"ui,house,home,real,estate",mp4/Home.mp4
Profile,"user,avatar,ui",mp4/Profile.mp4
Chat,"communications,chat,conversation,speech,bubble",mp4/Chat.mp4
Airplane,"transportation,travel,airplane,flight,plane",mp4/Airplane.mp4
Shopping cart,"commerce,and,shopping,commerce,shopping,cart,purchase,supermarket",mp4/Shopping cart.mp4
User,"user,security,shield,check,verified",mp4/User.mp4
Presentation,"business,and,finance,business,statistics,graphic,board",mp4/Presentation.mp4
Around the world,"travel,maps,and,location,location,earth",mp4/Around the world.mp4
Coffee cup,"food,and,restaurant,beverage,drink,tea,coffee",mp4/Coffee cup.mp4
Search,"ui,magnifying,glass,worldwide,search",mp4/Search.mp4
Shield,"security,protection,shield,check,safety,safe,verified",mp4/Shield.mp4
Right arrow,"orientation,arrows,direction",mp4/Right arrow.mp4
Heartbeat,"healthcare,and,medical,heart,healthcare,wellness,medical,healthy",mp4/Heartbeat.mp4
Briefcase,"business,and,finance,business,bag,job,briefcase",mp4/Briefcase.mp4
Diploma,"education,contract,degree",mp4/Diploma.mp4
Heart,"heart,love,love,and,romance,romantic",mp4/Heart.mp4
Hacker,"user,avatar,security,laptop",mp4/Hacker.mp4
Hourglass,"time,and,date,time,wait,hourglass",mp4/Hourglass.mp4
Document,"security,document,files,and,folders,file,smartphone",mp4/Document.mp4
Right arrow,"orientation,arrows,direction,arrow",mp4/Right arrow.mp4
Verified,"commerce,and,shopping,award,verified,badge",mp4/Verified.mp4
ID,"user,card,identification",mp4/ID.mp4
Bar chart,"business,and,finance,arrow,statistics,bar,chart,growth",mp4/Bar chart.mp4
Worldwide,"travel,shipping,and,delivery,world,worldwide,trip,earth",mp4/Worldwide.mp4
Thumbs up,"hand,gesture,animation,marketing",mp4/Thumbs up.mp4
Location,"maps,and,location,pin,location,placeholder",mp4/Location.mp4
Shield,"security,protection,shield,check,secure,safe,verified",mp4/Shield.mp4
Way,"maps,and,location,pin,location,route",mp4/Way.mp4
View,"ui,eye,vision",mp4/View.mp4
Warning,"signaling,alert,warning",mp4/Warning.mp4
Note,"files,and,folders,pin,paper",mp4/Note.mp4
Paint palette,"art,and,design",mp4/Paint palette.mp4
Shopping cart,"commerce,and,shopping,ecommerce,shop,store,trolley,shopping,cart",mp4/Shopping cart.mp4
Alert,"security,light,alarm,emergency,alert,danger,warning",mp4/Alert.mp4
Happy,"smileys,emoji,emoticon,feeling,happy,smile,happiness",mp4/Happy.mp4
Down arrow,"orientation,arrows,direction,arrow,download",mp4/Down arrow.mp4
Phone,"communications,phone,telephone,call,transfer",mp4/Phone.mp4
Wave,"hand,hands,and,gestures,gesture,animation",mp4/Wave.mp4
Building,"architecture,and,city,urban,building,architecture,office",mp4/Building.mp4
Physics,"education,science",mp4/Physics.mp4
Menu,"ui,interface,options,menu",mp4/Menu.mp4
Sun,"weather,meteorology,forecast,summer,sun",mp4/Sun.mp4
Browser,"seo,and,web,browser,internet",mp4/Browser.mp4
Love,"hand,hands,and,gestures,gesture,love,animation",mp4/Love.mp4
Workplace,"furniture,and,household,furniture,computer,table,office,desk",mp4/Workplace.mp4
Bubble chat,"business,and,finance,conversation",mp4/Bubble chat.mp4
Share,"ui,interface,connection",mp4/Share.mp4
Video player,"music,and,multimedia,multimedia",mp4/Video player.mp4
Shopping,"commerce,and,shopping,smartphone,commerce,shopping,ecommerce,shopping,cart,online",mp4/Shopping.mp4
Bar chart,"business,and,finance,arrow,diagram,statistics,chart,performance,graphic,bar,chart,growth",mp4/Bar chart.mp4
Home,"maps,and,location,house,home,pin",mp4/Home.mp4
Destination,"maps,and,location,gps,route",mp4/Destination.mp4
Pencil,"education,pencil",mp4/Pencil.mp4
Calculator,"education,technology,maths",mp4/Calculator.mp4
Video camera,"electronics,technology,music,and,multimedia",mp4/Video camera.mp4
Password,"security,protection,money,secure,lock,padlock,password,privacy",mp4/Password.mp4
Mailing,"communications,message,email,dm,envelope",mp4/Mailing.mp4
Goal,"business,and,finance,goal,mountain",mp4/Goal.mp4
Mouse,"electronics,technology,computer",mp4/Mouse.mp4
Repair Tools,"construction,and,tools,seo,and,web,tools,equipment,repair,service",mp4/Repair Tools.mp4
Globe earth,"education,world,planet,geography",mp4/Globe earth.mp4
Line chart,"business,and,finance,business,statistics,stats",mp4/Line chart.mp4
One,"education,maths,mathematics,number",mp4/One.mp4
Cashback,"business,and,finance,business,dollar,banking,payment,coin",mp4/Cashback.mp4
